SURGE Kiosk Information,,,,,,,
,,,,,,,
,,,,,,,
Station,Project Name,Students,Advisors,Project Description,Student Photo,Advisor Photo,Project Photo
11,Transmitting Glassy-Winged Sharpshooter Calls to Disrupt Mating,"Joanna Ochoa, Shira Gordon, Rodrigo Krugner","Dr. Larry Owens, Duane Goodwin","Glassy-Winged Sharpshooter (GWSS) is an agricultural pest acting as a vector of Xylella fastidiosa that can cause Pierce's Disease in grapevines. GWSS are most commonly known as 'leaf hoppers' traveling between plants, carrying bacteria to new locations. GWSS is a generalist insect, overwintering in California on citrus.",mock2.jpg,mock1.jpg,Joannas SURGE poster- complete.jpg
12,Restoration Design and Student Mentoring,"Saul Estrada, Jose Salazar, Christy Velez, and Steven Standlee ",Bobby Kamansky,"California native plants sustain a large diversity of native pollinators, which account for the production of more than 24 Billion dollars in fruit crops each year in the US. In Tulare County alone, pollinator dependent crops account for half of the top ten cash crops. Tulare county ranks #1 as the largest agricultural producing country in the entire nation.",mock2.jpg,mock1.jpg,Kamansky_PollinatorPoster_Final.jpg
13,"Tulare County Oak Woodlands: Ecology, Drought Mortality","Steven Standlee, Jose Salazar, Christy Velez, Saul Estrada ",Bobby Kamansky,"California boasts an impressive 8.5 million acres of oak woodland (<40% canopy cover) and an additional 4.5 million acres of oak forests. Oak woodlands in Tulare County alone are estimated to occupy 345,915 acres, most of which are comprised of the Quercus douglasii (blue oak) and Quercus wislizeni (interior live oak). Blue oak woodlands total 157,740 acres, interior live oak woodlands, 67,799 acres, 33,504 acres of mixed oak woodlands, and over 2,000 acres of Valley oak woodlands (see Table 1). These woodlands are conspicuous and important vegetation types in Tulare County.",mock2.jpg,mock1.jpg,Kamansky_Tulare County Oaks Final.jpg
14,Natural Resources Conservation Service,"Isabel Lambert, Blake Doyle",Bradley Pannett and Kelli Woods,"California is one of the top producers of agriculture in the world, and it is divided up into sections, that contain both NRCS area offices and field offices. We were placed with the Visalia area office. NRCS works with producers to preserve and conserve Soil, Water, Animals, Plants, Agriculture, Human and Energy resources.",mock2.jpg,mock1.jpg,NRCS SURGE Poster-Isabel Lambert.jpg
15,Soft Robotic Four Leg Pneumatic Gripper,Harkuver Preet Singh Sidhu & Carlos Zurita-Cortes,Dr. Larry Owens,Soft Robotics are a cost effective way of creating robots that have practical uses in everyday life. Being able to create programmable moving robots with the use of cheap materials and low cost Arduino chips could soon be the norm in the advancement of high tech robotics.,mock2.jpg,mock1.jpg,"robot gripper-Harkuver, Carlos.jpg"
16,Robotic Arm controlled with EMG Sensor,"Carlos Gonzales, Jose Cardenas,  Erick Alvarado-Herrera",Dr. Larry Owens,Advanced prosthetics are controlled using the electrical signals generated by our muscles. These signals are detected by a myoelectric sensor and then sent to a controller (our programmed arduino board) which drives the arm.,mock2.jpg,mock1.jpg,"Robotic Arm-Erick, Jose, Carlos.jpg"
17,Quercus of Tulare County Foothills,"Matthew Deuser, Andrew Pacheco, Skylr Lopez, Saul Estrada, Anna Aparicio",Dr. Robert Urtecho & Kathryn Torres,"The Tulare lake basin, with the exception of the local National Parks, has one of the least known floras in California. Since much of the valley floor has been converted to agricultural purposes and the foothills dedicated to ranching, there have been few botanical surveys performed before the landscape was irrepably changed.",mock2.jpg,mock1.jpg,Scicon_Quercus_florisitcs_composition_of_the_Sierra_Nevada_plant_community(1).jpg
18,STEM Associate's Degree Wage Premiums,Xuewen Li,Christian Anderson,"A large body of research documents the positive effect of college completion on expected wages and salaries both starting after graduation and over a degree holder's work life. Evidence also suggests, however, that a great deal of the variation in outcomes is strongly correlated with graduate's choice of college major.",mock2.jpg,mock1.jpg,STEM Majors Employment Outcomes-Mollie Li-Christian Anderson.jpg
19,Dielectric Elastomer Actuators,Rachel Owens,Dr. Larry Owens,"Engineering is primarily dependent on hard minerals for the construction of new systems and machines, but systems in nature are reliant on softness. The convergence of biology and engineering research has led to innovative new designs that incorporate the advantages found in soft, elastic materials.",mock2.jpg,mock1.jpg,SURGE Poster - Elastic Actuators - R. Owens.jpg
20,TCOE Expo Virtual Tour App,Aaron Johnson,John Redden & Ahsen Baig,Career Expo participants will be invited to download this app as part of the event. A number of QR codes will be placed around the campus and students will be tasked with finding as many as they can.,mock2.jpg,mock1.jpg,TCOE App SURGE Poster Final.jpg
21,Microbial communities in the root stocks and leaves of Cabernet Sauvignon,"Andres Martinez Perez, Julie Pedraza, Mala To, Justin King, Christopher M. Wallis",,"Ancient plants did not have the proper root systems for extraction of nutrients from the ground. More than 80% of higher plant species form a symbiotic relationship with arbuscular mycorrhizae, which are found in most ecosystems. The soil microbiota are responsible for many ecosystem functions such as plant growth regulation, nutrient cycling, & carbon sequestration.",mock2.jpg,mock1.jpg,USDA ARS Plant Pathology Internship-Andres Perez.jpg
22,Arduino-Controlled Gripper,"Graham Frazier, Kyle Sweeney, and Gerald Jumper",Dr. Larry Owens,"The study which inspired this project focused on the creation of a manually controlled grasping hand, to be used in laparoscopic surgery. The main purpose is to gently grasp tender objects like a pancreas. The fingers were created using a Shape Deposition Manufacturing (SDM) process, allowing for the imbedding of parts through milling and filling processes. The fingers could detect pressure on the tips through feedback given by tactile sensors. This feedback was used to alert the operator of the grasper when too much pressure is applied by the fingers, which could cause potential damage. We took this research and improved upon the hand to make it more durable and self-operated.",mock2.jpg,mock1.jpg,Soft Robotics Poster-Sweeney and Frasier.jpg
23,Swainsons Hawk (Buteo swainsoni) still Threatened?,"Naomi Alberstein, Laura Rodriguez",Robert Hansen,Has their breeding population in Tulare and Kings Counties increased since 1982?,mock2.jpg,mock1.jpg,Swainsons Hawk Poster .jpg
24,Breeding range of the Swainson’s Hawk,"Alec Cano, Sean McFarlan ",Professor Robert Hansen,Has the breeding range of the Swainsons Hawk (Buteo swainsoni) expanded in Tulare and Kings County?,mock2.jpg,mock1.jpg,the SWHA poster.jpg
25,Variation in Abiotic Factors Important for Invertebrates in California Wetlands,Steven Standlee,Bobby Kamansky,"This study focuses on vernal pools, seasonal precipitation-fed wetlands with an impermeable layer such as duripan1 beneath the surface of the soil. Vernal pools create micro-habitats for plants and animals, many of which have life cycles dependent on these seasonal wetlands. These organisms are often specialists, able to take advantage of the abiotic factors present within a vernal pool.",mock2.jpg,mock1.jpg,vernal.jpg

